ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
627,135.61576354679804,812.3793103448276,6.229318056476168,1.7790914269355504,1.00709465497525,203.0,4.0,2.0,1.677685950413223,4.686510657907603,3.656366395715726,1.2615662610100802,5.527906391541368,127,143,805,822,121,6.677685950413223
628,450.8433734939759,804.289156626506,2.589306689710845,1.4292547485732339,0.9269688879398572,83.0,3.0,2.0,1.3833333333333333,3.141274657157109,2.393653682408596,0.7978845608028654,3.477898169151024,448,455,800,809,60,7.383333333333334
629,220.1013215859031,811.977973568282,2.432726940675581,1.9306672602433943,-1.184662132049635,227.0,5.0,3.0,2.948051948051948,3.826519928662906,2.7057581899030048,1.1283791670955126,4.1073621666150775,216,224,806,816,77,11.948051948051948
630,296.6694915254237,813.9025423728814,2.3218389797033554,1.5331338503140761,0.007523602188344464,236.0,10.0,2.0,2.8780487804878048,2.5231325220201604,2.326213245840639,0.7978845608028654,3.8678889139475245,291,302,810,817,82,6.878048780487805
631,515.3146551724138,806.5474137931035,4.175598785222139,2.442832205508035,-0.5692777798210978,232.0,4.0,2.0,1.9333333333333333,4.886025119029199,3.477898169151024,1.2615662610100802,5.499039842323396,509,526,799,814,120,4.933333333333334
632,249.5266836086404,826.5848157560356,7.428283110323109,4.644694516509085,-0.9390029122118828,3148.0,15.0,5.0,5.591474245115453,7.225151993843567,6.886811529393324,2.7057581899030048,10.983598994121039,234,272,812,840,563,10.591474245115453
633,755.8229166666666,809.6701388888889,3.0671679450089533,2.152410159156023,0.8803962175424974,288.0,5.0,2.0,2.5043478260869567,4.145929793656026,3.1915382432114616,1.2615662610100802,5.170882945826411,750,762,804,815,115,6.504347826086956
634,927.0816326530612,817.4081632653061,4.730167036564241,1.8060405517634912,-0.0031670432002138837,147.0,2.0,1.0,1.2894736842105263,5.863230142835039,3.385137501286538,1.4927053303604616,5.440847306724618,918,935,813,820,114,5.2894736842105265
635,609.4534562211982,816.3539170506913,6.1377583113655705,3.06681235467373,0.6665961214628993,1085.0,10.0,3.0,3.4775641025641026,4.950743503369154,5.232078956954491,1.8712051592547776,8.6488625410045,600,622,806,828,312,7.477564102564102
636,469.9017857142857,814.953125,8.590178509272528,3.959030738847045,-1.440465615357771,1344.0,8.0,3.0,3.3185185185185184,7.136496464611085,6.102643417692329,2.393653682408596,9.673836185197393,460,483,801,833,405,8.318518518518518
637,999.8835616438356,824.527397260274,2.7794879824424767,1.8459139548460235,1.4474690822540162,146.0,4.0,2.0,1.7380952380952381,3.7846987830302403,2.8209479177387813,0.9772050238058398,4.51351666838205,996,1004,819,831,84,5.738095238095238
638,650.8958333333334,820.0347222222222,2.2809556889523837,1.9597806952621208,1.5272967965613597,144.0,5.0,2.0,2.1818181818181817,2.6462837142006137,2.393653682408596,0.7978845608028654,3.949327084834294,648,655,817,825,66,6.181818181818182
639,885.3608949416342,831.4581712062256,9.772282896550731,4.164289771809746,-0.6789005743851628,2056.0,10.0,4.0,4.6410835214446955,8.368283871884005,6.746726148605861,2.5854414729132054,10.418429401242426,866,899,814,843,443,8.641083521444695
